puzzleId,title,identifiers
1674,Additional Signals,HSG.SRT.D.11
618,Adventure Airlines,"HSG.SRT.C.8, HSG.MG.A.1"
774,Another Problematic Pizza,"HSG.SRT.D.9, HSG.C.B"
1146,Around the Corner,"HSG.SRT.C.8, HSG.MG.A.3, HSF.IF.B.5"
1710,Basketball Angles,"HSF.TF.B.7, HSG.SRT.C.8"
714,Building Boxes,"HSF.IF.B.4, HSF.IF.B.5, HSF.IF.C.7, HSF.BF.A.1, HSF.BF.A.1.a, HSF.BF.A.1.b"
690,Building Bridges,"HSG.SRT.C.8, HSG.SRT.D.11"
750,Can You Prove It?,"HSN.RN.B.3, HSG.CO.D.12"
1506,Cooling Colas,"HSF.BF.A.1.b, HSF.LE.A.1, HSF.LE.A.2, HSF.LE.A.4"
1254,Coordinateville,"HSG.MG.A.3, HSG.SRT.C.8, HSG.SRT.D.11"
630,Costly Cable,"HSF.IF.B.4, HSF.BF.A.1, HSG.SRT.C.8, HSG.MG.A.3"
1506,Cutting the Cookie,HSG.SRT.C.8
1110,A Deviation from the Average,HSS.ID.A.3
1314,Don't Be Late for Dinner,"HSG.SRT.B.5, HSG.SRT.C.8"
426,Environmentally Friendly,"HSF.IF.B.4, HSF.IF.B.5, HSF.IF.C.7, HSF.BF.A.1, HSF.BF.A.1.a, HSF.BF.A.1.b"
1350,Fishing on the Bay,HSF.TF.B.5
786,George's Gutters,"HSF.IF.B.4, HSG.MG.A"
462,Goose Bay Mountain,HSG.SRT.C.8
594,How Large Is the Yard?,"HSG.MG.A.3, HSG.SRT.D.11"
474,Job Interview at the Can-Can Company,"HSF.IF.B.5, HSG.GMD.A.3"
1374,Kite Construction,"HSG.SRT.C.8, HSG.SRT.D.11"
858,Let the Sunshine In,"HSF.IF.B.4, HSG.MG.A.3"
534,Let's Measure the Earth,HSG.C.B
1134,Making Money at the Movies,"HSF.IF.B.4, HSF.IF.B.5, HSF.IF.C.7, HSF.BF.A.1, HSF.BF.A.1.a, HSF.BF.A.1.b"
870,My Hot Chocolate is Too Hot!,"HSF.BF.A.1.a, HSF.BF.A.1.b, "
1086,"One Area, Many Solutions",HSG.GPE.B.7
1530,Pie Puzzler,"HSG.SRT.C.8, HSG.C.B"
1278,Preparing for the Test,"HSA.CED.A.2, HSA.CED.A.3, HSF.IF.A.3, HSF.BF.A.2"
762,A Problematic Pizza,"HSG.SRT.C.8, HSG.C.B"
1122,Rationals and Irrationals,HSN.RN.B.3
450,A Rhyming Riddle,HSA.SSE.B.3
1386,Shipping Packages,"HSG.GMD.A.3, HSG.MG.A.3, HSF.IF.B.4"
1650,Simple Signals,"HSG.SRT.C.6, HSG.SRT.C.7"
1494,Skiing in Vermont,"HSN.VM.A, HSG.SRT.C.8, HSG.SRT.D.11"
1266,A Sprinking of Dust,HSF.BF.A.2
1098,Stonybrooke River Bridge,"HSG.SRT.D.11, HSG.MG.A.1"
1230,Tangents and Slopes,"HSG.GPE.B.4, HSG.GPE.B.5"
498,The Growing Snowflake,"HSF.BF.A.1.a, HSA.SSE.B.4"
1518,The Indoor Driving Range,HSG.MG.A.3
522,The Ninja Mission,"HSG.SRT.D.9, HSG.C.B"
990,The Oval Braided Rug,"HSG.GPE.A, HSG.MG.A"
414,The Super-Ultra-Mega-Big Cup,"HSF.IF.B.4, HSG.GMD.A.3, HSG.MG.A.3, HSA.CED.A.4"
1182,The Supermarket Shelf,"HSG.SRT.C.8, HSG.MG.A.3"
1446,The Triangle Inside an Angle,HSG.SRT.C.8
1434,The World's Strongest Man Competition,HSN.VM.A.3
402,World Series Champions,HSS.CP.B.9
486,Your Interview Question Is...,"HSF.IF.B.5, HSG.GMD.A.3"
1062,Building a Sandbox,"HSF.IF.B.4, HSG.MG.A.3"
1242,Center Coordinates,"HSG.GPE.A.1, HSG.C.A.2, HSG.C.A.3"
906,Cup Capacity,HSG.GMD.A.3
1662,Extending the Signals,HSG.SRT.C.8
678,Ferris Wheel Function,HSF.TF.B.5
642,Happy Birthday to You & You & You...,"HSS.CP.A.3, HSS.CP.A.3, HSS.CP.B.8"
798,How Do You Measure a Mountain,HSG.SRT.D.11
1470,Irregular Acreage,HSG.SRT.D
882,Managing a Mall,HSG.SRT.D
1422,My Snow-Shoveling Business,"HSF.IF.B.4, HSF.IF.B.5, HSF.IF.C.7, HSF.BF.A.1, HSF.BF.A.1.a, HSF.BF.A.1.b"
438,"Nice Shot, Robin Hood","HSA.SSE.B.3.b, HSA.REI.B.4"
1158,A Picture Is Worth 1000 Words,"HSG.C.B.5, HSG.SRT.C.8"
966,Product Max,"HSF.BF.A.1, HSF.IF.B.4, HSA.SSE.B.3.b"
1290,Seal of Dalvek,"HSG.C.B.5, HSG.SRT.D.11, HSG.SRT.C.8, HSA.REI.D.11"
1050,A Sequence of Logs,"HSF.BF.B.5, HSF.IF.A.3"
1578,The Super-Yard XT,"HSG.SRT.D.9, HSG.CO.B.8"
918,"Triangles, Sines, and Areas",HSG.SRT.D.9
666,The Unit Circle Triangle,"HSF.TF, HSG.SRT.D.9, HSG.SRT.C.8, HSF.IF.B.4, HSF.IF.B.5"
894,Vehicle Value,"HSF.LE.A.1.c, HSF.LE.A.2"
1014,Where Did It Come From?,"HSA.APR.D.7, HSA.SSE.A.2"
930,How Are These Equal?,HSF.TF.C
846,Your Speeding Ticket,8.EE.A.4
2912,Timber!,"3.OA.D.8,3.G.A.2,4.OA.A.3,5.OA.A.2,8.G.B.7"
3692,Kwae,"4.G.A.3,8.G.A.1"
4628,Symmetry Surprise,"4.G.A.3,8.G.A.1"
470,Pouring the Punch,"5.MD.A.1,6.RP.A.3,7.G.B.6,8.G.C.9"
1370,Falling into Sequences,"6.EE.A.1,7.EE.B.3,HSF.IF.A.1"
3020,Chirp! Chirp!,"6.EE.A.2,6.EE.C.9,7.RP.A.2,8.EE.B.6,8.F.A.3,8.F.B.4"
890,How Old is Ms. Nelson?,"6.EE.B,6.EE.C.9,7.RP.A.2,7.EE.B.4,8.EE.C.7,.8.EE.C.8,8.F.B.4"
1118,Distance Driving,"6.EE.B.6,6.EE.C.9,7.RP.A.2,8.EE.B.6,8.F.A.3,8.F.B.4"
5144,Measuring Melons,"6.EE.B.6,6.EE.C.9,8.EE.C.8"
1742,Quilting Squares,"6.G.A.1,7.G.B.4,HSA.SSE.A.1"
2972,Fences for Fido and Friends,"6.G.A.1,7.G.B.6,HSA.SSE.A.1"
1129,"Chocolate, Orange, Mega-mint Swirl","6.G.A.2,8.G.C.9"
1166,Graphing for Area,"6.G.A.3,7.G.B.6,HSA.SSE.A.1"
2042,Coding Conundrums,"6.NS.B,HSA.SSE.A.1.a"
2960,Divisible by a Dozen,"6.NS.B,HSA.SSE.A.1.a"
566,Coin Count,"6.NS.B.3,6.EE.B,7.NS.A.1,7.EE.B.4,8.EE.C"
374,Guess My Number If You Can!,"6.NS.B.4,7.EE.B.3,8.EE.A.2"
625,My Almond Cookie Bake,"6.NS.B.4,7.NS.A.2,7.NS.A.3,7.EE.B.3,8.EE.A.2"
362,Open and Shut Case,"6.NS.B.4,8.EE.A.2"
2900,Graphs,"6.NS.C.6,7.RP.A.2,8.F.B.4"
3668,Cadence,"6.RP.A,7.RP.A,8.EE.B.5"
3044,Garden Grove,"6.RP.A.1,6.G.A.2,7.G.B.6,8.G.C.9"
1778,Batter Up!,"6.RP.A.3,6.SP.A.3,6.SP.B.5,7.RP.A.3,7.NS.A.3,8.EE.B.6"
962,Downhill All the Way,"6.RP.A.3,7.NS.A.3,8.EE.B.6"
1526,Dishwasher Discounts,"6.RP.A.3,7.RP.A.3,7.NS.A.1,7.NS.A.2,8.EE.B.6"
1214,Do you listen to WMTH or WALG?,"6.RP.A.3,7.RP.A.3,7.NS.A.3,8.EE.B.6"
3140,All the Similar Triangles,"6.RP.A.3,8.G.A.1"
