puzzleId,title,identifiers
3191,Helping Hands,"1.G.A.3, 3.NF.A.1, 6.RP.A.1"
3251,Batting Order,"1.MD.C.4,3.MD.B,6.SP.B.5"
5039,The Arm Wrestling Match,"1.NBT.A.1, 2.MD.D.10, 6.SP.B.5"
3767,Apple Celebration,"1.OA.A.1, 6.EE.C.9"
3731,Bat-tastic!,"1.OA.A.2, 1.OA.C.6,1.NBT.C.4"
3347,Jordan's Jobs,"1.OA.A.2,1.OA.C.6,1.NBT.C.4"
4439,The Eagle and the Bear,"1.OA.B.4,1.OA.C.6,1.NBT.C.4, 6.EE.B.6"
3539,Pizza Night,"2.G.A.3, 3.NF.A.1, 6.RP.A.1"
5027,Charlie's Gumballs,"2.NBT.B, 3.NF.A.1, 6.RP.A.1, 7.EE.B.4"
4259,Trolls and Dogs,"2.NBT.B"
4247,How Far Will Taylor Run?,"2.OA.B.2,2.NBT.B"
2875,How Many Actors?,"3.G.A.2,4.NF.B.3.a,5.NF.A.2"
3571,A Jar of Coins,"3.G.A.2,4.OA.B.4, 5.NF.A.2,6.RP.A.3"
3019,Campers' Cider,"3.G.A.2,5.NBT.B.7"
4015,It's Summer in Melbourne,"3.MD.A,4.MD.A.2,5.MD.A.1"
817,Water Fun?,"3.MD.A.1,3.MD.A.2,4.MD.A.2,4.MD.A.1,5.MD.A.1"
2743,Choose Your Challenge,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
1237,Flying Time Zones,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
1105,Ms. Newton's Secret,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
1273,Seasonal Probability,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
3895,Time to Get Up,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
505,Movie Line Madness,"3.MD.A.1,4.MD.A.2,4.MD.A.1,5.MD.A.1"
16988,All Aboard!,"3.MD.A.1,4.MD.A.2,5.MD.A.1"
1297,Aidan's Millimeter Measurements,"3.MD.A.1,5.MD.A.1"
3679,Hauling Sand,"3.MD.A.2,4.MD.A.2,5.MD.C"
4687,Sheila's Shelves,"3.MD.A.2,4.NF.B.3,4.MD.A.2,5.NF.B.6"
3115,Can You Drink That Swimming Pool?,"3.MD.A.2,5.NBT.A.4,5.MD.C"
3043,Campfire Camaraderie,"3.MD.B, 6.SP.B.5"
349,Perfect Passengers,"3.MD.B,5.OA.A.2,6.SP.B.5"
2923,Grampa Joe's Great Grandpets,"3.MD.B,6.SP.B.5"
577,High School Reunion,"3.MD.B,6.SP.B.5"
458,Happy Thanksgiving,"3.MD.B,6.SP.B.5"
5216,Movie Seating,"3.MD.B,6.SP.B.5"
16999,The Oracle's Crowns,"3.MD.B,6.SP.B.5"
842,Label Shuffle,"3.MD.B,6.SP.B.5"
